Knapsack Testing
No. of Solution Systems, Trial, Pre-processing, Execution
50, 0, 400, 0
check, getRandomReady, getFunc, getPair, acquireLocks, perfFunc, rmFITS/READY, newFITS/READY
40610842, 211267, 43053, 306221, 38382, 19715, 486122, 9301304
45052810, 115699, 22243, 185070, 20870, 98989, 240643, 13377012
42772188, 209102, 40296, 421497, 38973, 173451, 448367, 11102143
42867925, 205349, 39565, 236930, 16002, 69379, 160074, 7301207
47733783, 244397, 55068, 322099, 52010, 26726, 579517, 6671614
47750735, 215230, 40001, 350597, 40422, 171673, 567406, 14067165
40084702, 120556, 21809, 182357, 19988, 53457, 241140, 11827604
43807977, 217951, 38788, 363581, 59792, 194806, 548349, 11272772
31460081, 163128, 22807, 182595, 20586, 104467, 226849, 12619727
31555614, 185070, 21148, 185354, 21278, 92687, 230944, 10492564
33598196, 344251, 83007, 419562, 43007, 21539, 391459, 6363003
37147554, 232641, 40296, 458132, 45641, 220600, 658546, 15014821
39520661, 212124, 40096, 361582, 40472, 190931, 480816, 9815162
34610892, 93974, 17492, 146960, 18002, 83062, 178117, 7682326
36672430, 125751, 22960, 197307, 22937, 99718, 245972, 10634652
33563225, 147871, 28398, 189408, 27943, 13881, 291422, 7641650
36187668, 140046, 27826, 230243, 26126, 117638, 330552, 13462199
41488675, 80713, 15754, 95297, 13705, 6788, 129827, 5652481
38990103, 315888, 38487, 349084, 39595, 186641, 442213, 13627415
40655057, 88114, 15994, 100396, 15102, 6812, 244341, 5712116
38745745, 147834, 27034, 240036, 29356, 161869, 317350, 11492322
43791318, 184399, 36460, 312755, 37262, 176344, 402388, 15518392
39241922, 202793, 44741, 351785, 37429, 170465, 461793, 12362208
41647546, 114069, 27456, 212284, 22696, 97231, 320448, 10069234
45067213, 113719, 21377, 182296, 20518, 137780, 325143, 8400241
35425063, 92660, 17970, 144859, 17694, 77589, 177202, 9920557
45697693, 183410, 35822, 311432, 35600, 149462, 391992, 10332225
44270077, 116445, 21971, 147655, 21929, 10738, 271579, 6660606
37469958, 158978, 31456, 286865, 30793, 205902, 496351, 14640397
